Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file USER32.DLL

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    2C90DD33 time date stamp Fri Sep 10 16:01:55 1993
        0.00 version
           1 ordinal base
         582 number of functions
         582 number of names

    ordinal hint RVA      name

        311  136 00017DC6 IsCharAlphaA
        312  137 00019DD6 IsCharAlphaNumericA
        313  138 00019E36 IsCharAlphaNumericW
        314  139 00012D26 IsCharAlphaW
        315  13A 000185D6 IsCharLowerA
        316  13B 0002F566 IsCharLowerW
        317  13C 00018576 IsCharUpperA
        318  13D 0002F5C6 IsCharUpperW
        319  13E 00017CC6 IsChild
        320  13F 000133C6 IsClipboardFormatAvailable
        321  140 00014F36 IsDialogMessage
        322  141 00014F36 IsDialogMessageA
        323  142 00013566 IsDialogMessageW
        324  143 0001BA46 IsDlgButtonChecked
        325  144 00004FC6 IsIconic
        326  145 0002F476 IsMenu
        327  146 00010196 IsRectEmpty
        328  147 00006866 IsWindow
        329  148 0000A2D6 IsWindowEnabled
        330  149 00022676 IsWindowUnicode
        331  14A 00007C56 IsWindowVisible
        332  14B 0000D8E6 IsZoomed
        333  14C 00024716 KillSystemTimer
        334  14D 0000CD96 KillTimer
        335  14E 00017AD6 LoadAcceleratorsA
        336  14F 00019646 LoadAcceleratorsW
        337  150 0000FB66 LoadBitmapA
        338  151 00017BC6 LoadBitmapW
        339  152 00009046 LoadCursorA
        340  153 000269C6 LoadCursorFromFileA
        341  154 00025B96 LoadCursorFromFileW
        342  155 00008896 LoadCursorW
        343  156 0000F9B6 LoadIconA
        344  157 0000F7D6 LoadIconW
        345  158 000265F6 LoadKeyboardLayoutA
        346  159 000255A6 LoadKeyboardLayoutW
        347  15A 00017676 LoadMenuA
        348  15B 0001E866 LoadMenuIndirectA
        349  15C 0001E896 LoadMenuIndirectW
        350  15D 00015BC6 LoadMenuW
        351  15E 0000CDE6 LoadStringA
        352  15F 00010166 LoadStringW
        353  160 00023126 LockWindowStation
        354  161 00021D06 LockWindowUpdate
        355  162 0001E766 LookupIconIdFromDirectory
        356  163 00006026 LookupMenuItem
        357  164 00005EE6 MBToWCSEx
        358  165 0000FB86 MapClientNeuterToClientPfn
        359  166 00021326 MapDialogRect
        360  167 00015E86 MapServerToClientPfn
        361  168 0001B016 MapVirtualKeyA
        362  169 000256C6 MapVirtualKeyW
        363  16A 0002F3A6 MapWindowPoints
        364  16B 0001E626 MenuWindowProcA
        365  16C 0001E5C6 MenuWindowProcW
        366  16D 0001BA96 MessageBeep
        367  16E 000266E6 MessageBoxA
        368  16F 00026706 MessageBoxExA
        369  170 00025736 MessageBoxExW
        370  171 00025716 MessageBoxW
        371  172 00017E76 ModifyMenuA
        372  173 000257E6 ModifyMenuW
        373  174 0000AAE6 MoveWindow
        374  175 0001D0A6 MsgWaitForMultipleObjects
        375  176 000226C6 OemKeyScan
        376  177 00008806 OemToCharA
        377  178 0002D226 OemToCharBuffA
        378  179 0002D386 OemToCharBuffW
        379  17A 0002D346 OemToCharW
        380  17B 00004926 OffsetRect
        381  17C 0000F956 OpenClipboard
        382  17D 0001BBD6 OpenDesktopA
        383  17E 00022716 OpenIcon
        384  17F 00024536 OpenWindowStationA
        385  180 00019046 PackDDElParam
        386  181 00006426 PeekMessageA
        387  182 00018316 PeekMessageW
        388  183 00005826 PostMessageA
