Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file GDI32.DLL

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    2C51B579 time date stamp Sat Jul 24 18:19:37 1993
        0.00 version
           1 ordinal base
         337 number of functions
         337 number of names

    ordinal hint RVA      name

        257  100 0002F9B6 PolylineTo
        258  101 0002A026 PtInRegion
        259  102 0002A196 PtVisible
        260  103 00019C76 RealizePalette
        261  104 0002A0D6 RectInRegion
        262  105 00007996 RectVisible
        263  106 0000EBE6 Rectangle
        264  107 00013CA6 RemoveFontResourceA
        265  108 0001C546 RemoveFontResourceW
        266  109 00013AB6 ResetDCA
        267  10A 00029396 ResetDCW
        268  10B 0002A386 ResizePalette
        269  10C 0000CFD6 RestoreDC
        270  10D 0002B726 RoundRect
        271  10E 0000C0D6 SaveDC
        272  10F 00019976 ScaleViewportExtEx
        273  110 00019AF6 ScaleWindowExtEx
        274  111 0002E6D6 SelectClipPath
        275  112 00004C36 SelectClipRgn
        276  113 00004406 SelectObject
        277  114 0000F5C6 SelectPalette
        278  115 000135F6 SetAbortProc
        279  116 00019156 SetArcDirection
        280  117 00006306 SetBitmapBits
        281  118 0002A4C6 SetBitmapDimensionEx
        282  119 00005996 SetBkColor
        283  11A 00007466 SetBkMode
        284  11B 000078C6 SetBkModeWOW
        285  11C 00019F16 SetBoundsRect
        286  11D 0000BEE6 SetBrushOrgEx
        287  11E 0001A176 SetColorAdjustment
        288  11F 0000FDD6 SetDIBits
        289  120 0000F7A6 SetDIBitsToDevice
        290  121 0001EF56 SetEnhMetaFileBits
        291  122 00013A26 SetFontEnumeration
        292  123 0001CBE6 SetGraphicsMode
        293  124 0000A236 SetMapMode
        294  125 00010FA6 SetMapperFlags
        295  126 000175D6 SetMetaFileBitsEx
        296  127 00018DE6 SetMetaRgn
        297  128 00019296 SetMiterLimit
        298  129 00017E16 SetPaletteEntries
        299  12A 0000F186 SetPixel
        300  12B 0002D4B6 SetPixelV
        301  12C 0001CC96 SetPolyFillMode
        302  12D 0001CD56 SetPolyFillModeWOW
        303  12E 00015096 SetROP2
        304  12F 0000ABC6 SetROP2WOW
        305  130 0000AC96 SetRectRgn
        306  131 0001CEF6 SetRelAbs
        307  132 000151A6 SetStretchBltMode
        308  133 000116B6 SetStretchBltModeWOW
        309  134 00018EF6 SetSystemPaletteUse
        310  135 000106B6 SetTextAlign
        311  136 0001CE26 SetTextAlignWOW
        312  137 0001CF66 SetTextCharacterExtra
        313  138 000057A6 SetTextColor
        314  139 00018FE6 SetTextJustification
        315  13A 00010896 SetViewportExtEx
        316  13B 00010786 SetViewportOrgEx
        317  13C 000198D6 SetVirtualResolution
        318  13D 0001EBA6 SetWinMetaFileBits
        319  13E 00013796 SetWindowExtEx
        320  13F 00008676 SetWindowOrgEx
        321  140 00019776 SetWorldTransform
        322  141 000132A6 StartDocA
        323  142 0002D9F6 StartDocW
        324  143 00012E96 StartPage
        325  144 00009EC6 StretchBlt
        326  145 000184D6 StretchDIBits
        327  146 0002EC26 StrokeAndFillPath
        328  147 0002EE26 StrokePath
        329  148 00008086 TextOutA
        330  149 0000FEF6 TextOutW
        331  14A 0001BC96 UnrealizeObject
        332  14B 0002D716 UpdateColors
        333  14C 0002F226 WidenPath
        334  14D 00014586 ddc
        335  14E 00014956 dumpcache
        336  14F 0001BEE6 dumphandle
        337  150 00014826 dumphmgr

  Summary

        1000 .bss
        2000 .data
        3000 .edata
        1000 .idata
        1000 .rdata
        3000 .reloc
        1000 .rsrc
       31000 .text
